Timestamp,Irradiance (W/m²),Temp (°C),Humidity (%),Rain (mm),Wind (m/s)
2021-06-01 15:00,792.88,35.48,54.47,0,3.96
2021-06-01 16:00,619.62,32.77,52.57,0,2.82
2021-06-01 17:00,395.26,34.47,65.8,0,3.06
2021-06-01 18:00,203.09,33.7,64.05,0,3.25
2021-06-01 19:00,65.77,31.96,88.12,0,2.03
2021-06-01 20:00,2.07,29.23,71.23,0,2.09
2021-06-01 21:00,14.69,31.03,63.74,0,2.7
2021-06-01 22:00,0,29.06,77.99,0,3.41
2021-06-01 23:00,0,32.04,75.32,0,1.95
2021-06-02 00:00,0,30.33,70.74,0,2.82
2021-06-02 01:00,41.1,30.42,86.19,0,1.29
2021-06-02 02:00,5.82,32.62,67.91,0,2.89
2021-06-02 03:00,27.6,31.07,78.31,0,1.83
2021-06-02 04:00,3.52,29.71,90.12,0,1.77
2021-06-02 05:00,0,29.41,79.57,0,2.78
2021-06-02 06:00,68.34,28.32,77.56,0,2.73
2021-06-02 07:00,237.1,33.7,69.12,0,3.19
2021-06-02 08:00,352.28,33.72,75.78,0,3.18
2021-06-02 09:00,615.56,36.72,58.63,0,3.64
2021-06-02 10:00,540.98,32.95,55.82,0,3.65
2021-06-02 11:00,871.75,37.24,45.4,0,3.99
2021-06-02 12:00,811.51,37.51,49.83,0,3.17
2021-06-02 13:00,739.87,36.13,52.69,0,4.4
2021-06-02 14:00,859.58,36.83,65.5,0,2.29
2021-06-02 15:00,583.86,36.18,66.3,0,3.43
2021-06-02 16:00,325.55,36.06,56.12,0,2.73
2021-06-02 17:00,390.44,34.8,51.6,0,4.34
2021-06-02 18:00,267.22,31.78,71.87,0,4.84
2021-06-02 19:00,26.61,31.18,79.24,0,2.77
2021-06-02 20:00,0,27.6,75.39,0,3.07
2021-06-02 21:00,0,29.95,86.39,0,3.69
2021-06-02 22:00,5.57,28.14,72.94,0,2.23
2021-06-02 23:00,10.44,29.28,71.09,0,1.66
2021-06-03 00:00,11.58,26.53,76.0,0,2.51
2021-06-03 01:00,1.28,31.5,75.61,0,1.68
2021-06-03 02:00,27.49,31.49,80.92,0,4.53
2021-06-03 03:00,11.17,30.46,76.67,0,3.82
2021-06-03 04:00,0,29.4,80.57,0,2.75
2021-06-03 05:00,0,27.14,77.57,0,2.13
2021-06-03 06:00,72.52,28.16,62.67,0,2.6
2021-06-03 07:00,271.32,33.19,67.45,0,3.65
2021-06-03 08:00,434.63,32.51,59.35,0,1.49
2021-06-03 09:00,567.06,33.96,53.64,0,3.54
2021-06-03 10:00,483.17,34.77,50.47,0,3.44
2021-06-03 11:00,933.26,36.42,62.44,0,4.29
2021-06-03 12:00,644.88,37.83,43.27,0,3.91
2021-06-03 13:00,725.89,40.0,53.69,0,2.35
2021-06-03 14:00,671.33,36.83,54.7,0,3.87
2021-06-03 15:00,791.13,37.49,62.69,0,4.77
2021-06-03 16:00,335.7,36.69,47.57,0,4.34
2021-06-03 17:00,358.44,37.51,68.1,0,1.61
2021-06-03 18:00,202.37,33.46,67.32,0,3.58
2021-06-03 19:00,61.87,34.72,71.44,0,2.43
2021-06-03 20:00,0,30.97,78.58,0,1.54
2021-06-03 21:00,14.25,29.75,74.18,0,1.65
2021-06-03 22:00,0,30.69,76.89,0,2.63
2021-06-03 23:00,13.75,29.73,82.98,0,2.67
2021-06-04 00:00,0,28.59,73.56,0,1.51
2021-06-04 01:00,0,32.36,91.68,0,2.22
2021-06-04 02:00,0,29.89,69.07,0,2.02
2021-06-04 03:00,0,28.85,73.45,0,3.45
2021-06-04 04:00,0,29.44,83.73,0,1.72
2021-06-04 05:00,13.1,31.12,86.4,0,1.81
2021-06-04 06:00,58.78,29.41,81.98,0,2.95
2021-06-04 07:00,247.29,32.84,64.81,0,2.06
2021-06-04 08:00,486.17,30.11,65.03,0,3.13
2021-06-04 09:00,651.24,35.42,54.28,0,2.81
2021-06-04 10:00,574.14,35.04,50.24,0,3.53
2021-06-04 11:00,733.28,38.03,52.74,0,3.41
2021-06-04 12:00,979.52,37.62,58.81,0,3.17
2021-06-04 13:00,787.11,36.87,50.35,0,2.48
2021-06-04 14:00,649.23,38.53,65.41,0,3.37
2021-06-04 15:00,664.73,39.24,44.5,0,3.78
2021-06-04 16:00,613.2,32.5,50.78,0,3.96
2021-06-04 17:00,449.27,32.75,67.9,0,2.17
2021-06-04 18:00,155.35,32.15,70.85,0,2.64
2021-06-04 19:00,36.41,30.19,73.04,0,1.88
2021-06-04 20:00,6.91,29.82,83.22,0,1.83
2021-06-04 21:00,3.25,32.29,77.41,0,1.95
2021-06-04 22:00,12.35,29.12,80.06,0,0.87
2021-06-04 23:00,0,28.83,84.35,0,1.27
2021-06-05 00:00,1.34,28.5,86.06,0,3.25
2021-06-05 01:00,0,31.21,70.18,0,1.93
2021-06-05 02:00,12.45,29.67,78.57,0,1.66
2021-06-05 03:00,0,30.51,74.93,0,2.27
2021-06-05 04:00,0,28.48,82.78,0,3.19
2021-06-05 05:00,13.18,31.26,83.57,0,2.41
2021-06-05 06:00,102.63,30.1,68.96,0,2.39
2021-06-05 07:00,325.06,32.62,76.01,0,2.81
2021-06-05 08:00,359.04,31.76,54.39,0,2.33
2021-06-05 09:00,705.32,34.19,61.34,0,3.33
2021-06-05 10:00,573.98,34.57,52.38,0,3.11
2021-06-05 11:00,932.42,38.11,51.33,0,3.28
2021-06-05 12:00,596.89,37.1,50.96,0,3.29
2021-06-05 13:00,610.92,36.61,49.76,0,3.41
2021-06-05 14:00,782.34,38.9,58.08,0,4.16
2021-06-05 15:00,818.3,39.3,56.02,0,2.81
2021-06-05 16:00,625.68,34.17,58.86,0,3.98
2021-06-05 17:00,511.92,36.85,56.81,0,1.95
2021-06-05 18:00,216.11,32.9,54.62,0,2.46
2021-06-05 19:00,10.86,31.59,67.46,0,2.73
2021-06-05 20:00,34.93,30.31,75.77,0,2.59
2021-06-05 21:00,0,30.45,76.95,0,2.32
2021-06-05 22:00,0,30.63,88.43,0,1.42
2021-06-05 23:00,0,28.85,92.56,0,2.31
2021-06-06 00:00,14.72,27.48,78.72,0,1.83
2021-06-06 01:00,0,30.15,81.54,0,2.47
2021-06-06 02:00,0,28.52,74.67,0,1.48
2021-06-06 03:00,0,28.66,76.61,0,1.67
2021-06-06 04:00,9.13,30.27,80.83,0,1.04
2021-06-06 05:00,4.98,30.96,68.41,0,2.31
2021-06-06 06:00,67.49,29.86,77.51,0,2.54
2021-06-06 07:00,234.46,32.23,63.9,0,2.58
2021-06-06 08:00,328.2,33.04,59.91,0,3.56
2021-06-06 09:00,665.52,33.09,51.57,0,3.42
2021-06-06 10:00,663.94,37.13,51.55,0,3.79
2021-06-06 11:00,890.79,37.28,54.59,0,3.76
2021-06-06 12:00,886.45,37.58,49.99,0,3.78
2021-06-06 13:00,953.3,35.96,43.78,0,3.58
2021-06-06 14:00,906.99,38.11,51.59,0,2.9
2021-06-06 15:00,754.82,32.69,55.97,0,3.9
2021-06-06 16:00,552.43,35.81,61.17,0,3.98
2021-06-06 17:00,373.35,33.81,65.32,0,4.03
2021-06-06 18:00,215.26,31.99,57.53,0,2.85
2021-06-06 19:00,32.59,29.04,69.69,0,2.68
2021-06-06 20:00,0,30.27,75.95,0,2.5
2021-06-06 21:00,0,28.05,77.26,0,2.55
2021-06-06 22:00,0,31.65,75.51,0,1.91
2021-06-06 23:00,18.55,30.4,76.0,0,2.68
2021-06-07 00:00,24.98,31.01,71.27,0,4.83
2021-06-07 01:00,0,28.95,87.76,0,2.49
2021-06-07 02:00,4.82,30.82,76.09,0,1.35
2021-06-07 03:00,0,30.03,74.88,0,2.71
2021-06-07 04:00,0,28.89,86.09,0,1.8
2021-06-07 05:00,8.85,28.25,72.99,0,2.37
2021-06-07 06:00,150.15,28.51,78.89,0,3.39
2021-06-07 07:00,249.49,31.59,70.76,0,3.32
2021-06-07 08:00,392.72,33.36,58.82,0,1.48
2021-06-07 09:00,602.74,35.38,69.59,0,4.58
2021-06-07 10:00,727.53,36.57,60.39,0,3.19
2021-06-07 11:00,800.91,36.17,48.46,0,3.71
2021-06-07 12:00,680.35,36.46,43.1,0,3.5
2021-06-07 13:00,531.46,36.86,44.69,0,3.47
2021-06-07 14:00,583.23,39.01,43.67,0,3.39
2021-06-07 15:00,411.13,38.11,43.78,0,3.38
2021-06-07 16:00,558.79,30.8,47.56,0,2.82
2021-06-07 17:00,365.38,34.17,57.11,0,2.66
2021-06-07 18:00,257.08,34.17,78.71,0,2.16
2021-06-07 19:00,47.92,31.56,76.09,0,1.19
2021-06-07 20:00,0,28.56,68.47,0,3.01
2021-06-07 21:00,20.69,30.41,67.78,0,1.44
2021-06-07 22:00,0,28.36,76.92,0,2.08
2021-06-07 23:00,0,29.28,62.46,0,2.55
2021-06-08 00:00,23.48,28.27,68.52,0,3.03
2021-06-08 01:00,0,30.9,76.02,0,1.04
2021-06-08 02:00,0,31.93,81.53,0,4.33
2021-06-08 03:00,0,28.4,84.93,0,2.78
2021-06-08 04:00,0,28.88,65.82,0,3.4
2021-06-08 05:00,0,31.4,82.51,0,2.88
2021-06-08 06:00,94.85,30.29,76.94,0,3.04
2021-06-08 07:00,308.75,35.31,72.74,0,3.31
2021-06-08 08:00,434.08,36.0,63.5,0,3.87
2021-06-08 09:00,651.59,35.86,53.41,0,4.04
2021-06-08 10:00,727.62,35.53,65.61,0,3.7
2021-06-08 11:00,602.56,36.45,44.31,0,3.23
2021-06-08 12:00,657.92,39.01,48.89,0,3.56
2021-06-08 13:00,583.24,34.72,58.09,0,3.97
2021-06-08 14:00,881.22,36.22,62.38,0,3.09
2021-06-08 15:00,688.35,34.75,50.68,0,2.43
2021-06-08 16:00,589.8,33.29,49.71,0,2.85
2021-06-08 17:00,404.62,35.22,63.94,0,2.64
2021-06-08 18:00,264.72,33.65,72.96,0,0.81
2021-06-08 19:00,10.23,31.36,78.64,0,1.81
2021-06-08 20:00,0,30.86,68.68,0,2.02
2021-06-08 21:00,9.65,29.81,89.64,0,1.91
2021-06-08 22:00,0,32.65,75.79,0,1.38
2021-06-08 23:00,22.24,30.16,69.39,0,2.49
2021-06-09 00:00,0,31.57,65.2,0,2.6
2021-06-09 01:00,36.92,30.49,65.65,0,1.61
2021-06-09 02:00,6.4,31.47,66.24,0,1.97
2021-06-09 03:00,27.79,32.79,75.66,0,2.97
2021-06-09 04:00,21.57,31.09,82.97,0,1.65
2021-06-09 05:00,17.69,29.48,77.83,0,1.79
2021-06-09 06:00,97.88,28.47,75.22,0,2.54
2021-06-09 07:00,248.5,33.18,79.83,0,2.28
2021-06-09 08:00,341.58,29.31,58.29,0,2.57
2021-06-09 09:00,479.08,35.21,61.74,0,2.65
2021-06-09 10:00,722.73,35.28,53.31,0,3.6
2021-06-09 11:00,840.95,37.71,60.65,0,4.12
2021-06-09 12:00,753.2,37.74,46.19,0,4.6
2021-06-09 13:00,566.96,37.05,52.23,0,3.98
2021-06-09 14:00,727.95,36.65,50.75,0,4.83
2021-06-09 15:00,617.53,37.65,55.79,0,3.64
2021-06-09 16:00,503.73,35.49,52.25,0,3.36
2021-06-09 17:00,473.02,35.62,65.91,0,2.87
2021-06-09 18:00,165.41,31.65,69.22,0,2.86
2021-06-09 19:00,26.42,32.2,73.68,0,1.54
2021-06-09 20:00,0,31.79,81.99,0,2.71
2021-06-09 21:00,0,28.6,69.17,0,4.22
2021-06-09 22:00,0,29.46,76.31,0,1.79
2021-06-09 23:00,0,27.91,77.24,0,1.72
2021-06-10 00:00,3.89,29.13,83.59,0,1.93
2021-06-10 01:00,0,30.99,75.57,0,2.49
2021-06-10 02:00,0,30.33,75.69,0,3.14
2021-06-10 03:00,8.68,28.23,71.4,0,1.74
2021-06-10 04:00,8.06,28.66,85.06,0,2.2
2021-06-10 05:00,0,26.12,73.49,0,1.82
2021-06-10 06:00,90.48,29.41,71.25,0,3.42
2021-06-10 07:00,181.22,33.88,58.86,0,2.13
2021-06-10 08:00,261.81,34.16,55.34,0,2.91
2021-06-10 09:00,595.23,33.28,57.51,0,3.71
2021-06-10 10:00,667.71,35.45,54.58,0,4.1
2021-06-10 11:00,838.03,36.81,50.37,0,3.5
2021-06-10 12:00,750.2,35.63,52.75,0,2.93
2021-06-10 13:00,604.79,35.09,51.98,0,3.8
2021-06-10 14:00,636.91,36.28,47.66,0,3.17
2021-06-10 15:00,725.16,36.76,54.98,0,3.09
2021-06-10 16:00,589.26,34.78,52.83,0,3.11
2021-06-10 17:00,373.49,35.74,69.31,0,2.97
2021-06-10 18:00,219.58,33.25,75.46,0,3.78
2021-06-10 19:00,50.88,33.31,74.37,0,1.5
2021-06-10 20:00,0,32.68,83.22,0,2.33
2021-06-10 21:00,31.52,28.58,71.04,0,1.78
2021-06-10 22:00,0,30.23,78.82,0,1.63
2021-06-10 23:00,0,28.08,80.26,0,2.05
2021-06-11 00:00,0,28.45,74.13,0,1.72
2021-06-11 01:00,0,31.14,81.53,0,2.93
2021-06-11 02:00,14.12,31.15,74.9,0,2.02
2021-06-11 03:00,5.25,28.99,80.41,0,2.57
2021-06-11 04:00,0,29.48,74.89,0,2.32
2021-06-11 05:00,0.85,27.47,65.07,0,2.7
2021-06-11 06:00,95.28,27.87,66.36,0,2.09
2021-06-11 07:00,290.72,32.67,67.02,0,3.23
2021-06-11 08:00,336.81,32.68,68.97,0,4.25
2021-06-11 09:00,512.34,35.89,63.01,0,2.51
2021-06-11 10:00,775.05,33.03,50.46,0,4.09
2021-06-11 11:00,814.6,34.3,48.41,0,4.34
2021-06-11 12:00,732.7,39.39,57.88,0,3.08
2021-06-11 13:00,565.49,36.97,50.38,0,4.44
2021-06-11 14:00,854.45,37.62,56.78,0,3.45
2021-06-11 15:00,502.58,38.05,57.0,0,2.46
2021-06-11 16:00,478.99,35.0,54.65,0,3.05
2021-06-11 17:00,484.93,32.81,60.26,0,3.74
2021-06-11 18:00,204.55,35.57,68.24,0,1.89
2021-06-11 19:00,51.19,31.51,68.81,0,3.15
2021-06-11 20:00,0,31.17,69.35,0,1.86
2021-06-11 21:00,0,28.75,74.32,0,2.71
2021-06-11 22:00,11.32,31.64,75.76,0,2.26
2021-06-11 23:00,30.72,31.35,86.29,0,2.91
2021-06-12 00:00,0,31.32,79.28,0,2.24
2021-06-12 01:00,0,30.62,83.04,0,1.15
2021-06-12 02:00,0,28.57,80.36,0,1.97
2021-06-12 03:00,0,30.42,77.94,0,1.44
2021-06-12 04:00,0,30.61,71.7,0,2.54
2021-06-12 05:00,49.1,28.59,73.26,0,2.34
2021-06-12 06:00,114.31,32.7,72.48,0,2.49
2021-06-12 07:00,275.99,34.15,73.96,0,2.07
2021-06-12 08:00,317.44,34.02,58.91,0,3.06
2021-06-12 09:00,623.72,34.03,44.51,0,3.92
2021-06-12 10:00,642.43,35.33,55.15,0,4.27
2021-06-12 11:00,672.41,41.15,50.36,0,3.75
2021-06-12 12:00,507.18,35.27,41.51,0,4.07
2021-06-12 13:00,676.65,34.97,56.32,0,4.52
2021-06-12 14:00,714.12,37.84,54.11,0,4.05
2021-06-12 15:00,736.83,34.51,58.67,0,3.81
2021-06-12 16:00,523.23,33.2,64.21,0,2.89
2021-06-12 17:00,381.88,33.37,71.41,0,3.02
2021-06-12 18:00,221.06,31.42,73.68,0,2.67
2021-06-12 19:00,31.25,31.46,78.62,0,2.24
2021-06-12 20:00,0,31.9,77.44,0,1.59
2021-06-12 21:00,0,26.82,77.98,0,2.33
2021-06-12 22:00,0,29.77,69.61,0,2.35
2021-06-12 23:00,0,30.39,67.46,0,1.83
2021-06-13 00:00,27.88,27.74,80.04,0,1.33
2021-06-13 01:00,28.73,31.0,73.17,0,2.35
2021-06-13 02:00,3.26,33.37,81.63,0,0.2
2021-06-13 03:00,0,29.69,78.08,0,1.74
2021-06-13 04:00,24.54,30.9,73.98,0,2.68
2021-06-13 05:00,22.81,28.42,82.68,0,1.77
2021-06-13 06:00,64.51,26.59,75.02,0,1.12
2021-06-13 07:00,259.93,31.4,59.67,0,1.92
2021-06-13 08:00,459.97,35.23,67.12,0,2.68
2021-06-13 09:00,391.84,35.53,56.87,0,3.44
2021-06-13 10:00,556.56,36.74,53.97,0,5.17
2021-06-13 11:00,772.33,37.3,44.33,0,4.58
2021-06-13 12:00,843.96,38.11,56.52,0,3.73
2021-06-13 13:00,802.92,38.07,46.35,0,4.2
2021-06-13 14:00,839.26,35.25,38.71,0,2.77
2021-06-13 15:00,465.21,35.51,47.92,0,4.04
2021-06-13 16:00,514.56,35.38,52.04,0,2.53
2021-06-13 17:00,312.74,35.66,45.26,0,3.71
2021-06-13 18:00,268.15,32.53,70.28,0,3.08
2021-06-13 19:00,64.98,31.03,84.14,0,2.84
2021-06-13 20:00,0,29.68,79.8,0,0.78
2021-06-13 21:00,16.89,28.1,85.67,0,1.76
2021-06-13 22:00,0,30.73,80.78,0,3.0
2021-06-13 23:00,22.56,30.31,70.64,0,3.13
2021-06-14 00:00,0,31.11,80.66,0,3.32
2021-06-14 01:00,0,29.59,79.04,0,1.95
2021-06-14 02:00,0,27.85,80.8,0,1.4
2021-06-14 03:00,4.86,27.9,84.48,0,3.86
2021-06-14 04:00,16.26,30.73,79.05,0,2.44
2021-06-14 05:00,0,32.12,69.9,0,3.57
2021-06-14 06:00,40.68,29.99,83.33,0,2.03
2021-06-14 07:00,249.79,33.75,64.94,0,2.7
2021-06-14 08:00,360.18,31.99,54.81,0,1.95
2021-06-14 09:00,612.83,33.41,59.72,0,3.31
2021-06-14 10:00,710.96,34.05,45.69,0,2.62
2021-06-14 11:00,593.26,36.36,47.66,0,5.33
2021-06-14 12:00,907.07,36.33,45.48,0,3.92
2021-06-14 13:00,696.75,37.64,52.62,0,4.6
2021-06-14 14:00,793.7,36.53,40.05,0,3.96
2021-06-14 15:00,606.79,37.73,52.06,0,4.15
2021-06-14 16:00,523.66,36.55,61.91,0,2.49
2021-06-14 17:00,307.02,37.5,67.1,0,3.46
2021-06-14 18:00,230.35,33.44,63.09,0,1.8
2021-06-14 19:00,41.86,32.3,83.1,0,2.01
2021-06-14 20:00,0,29.71,79.54,0,0.75
2021-06-14 21:00,0,28.61,66.68,0,1.89
2021-06-14 22:00,15.66,29.64,67.91,0,1.73
2021-06-14 23:00,0,29.58,75.78,0,2.11
2021-06-15 00:00,0,29.16,95,0,2.05
2021-06-15 01:00,17.79,29.77,79.52,0,1.59
2021-06-15 02:00,0,30.56,84.79,0,1.99
2021-06-15 03:00,10.56,31.02,71.46,0,2.33
2021-06-15 04:00,0,29.03,85.3,0,3.32
2021-06-15 05:00,0,28.74,72.18,0,3.33
2021-06-15 06:00,97.11,29.15,85.31,0,1.66
2021-06-15 07:00,224.1,31.75,71.38,0,1.63
2021-06-15 08:00,402.19,29.42,65.35,0,3.26
2021-06-15 09:00,621.41,33.38,54.75,0,3.06
2021-06-15 10:00,721.79,36.0,51.17,0,3.41
2021-06-15 11:00,740.01,36.1,56.54,0,3.7
2021-06-15 12:00,644.3,34.64,55.63,0,4.94
2021-06-15 13:00,856.54,36.46,52.93,0,4.05
2021-06-15 14:00,793.85,35.54,51.08,0,4.31
2021-06-15 15:00,391.86,37.5,56.21,0,2.33
2021-06-15 16:00,562.31,34.78,56.57,0,3.23
2021-06-15 17:00,289.69,38.48,62.77,0,3.49
2021-06-15 18:00,220.33,32.73,75.18,0,3.76
2021-06-15 19:00,46.22,32.76,73.79,0,1.67
2021-06-15 20:00,0,32.6,74.95,0,2.06
2021-06-15 21:00,0,28.65,73.68,0,2.39
2021-06-15 22:00,1.59,26.61,74.65,0,2.07
2021-06-15 23:00,0,28.67,78.42,0,3.24
2021-06-16 00:00,0,31.47,80.01,0,2.13
2021-06-16 01:00,0.24,29.85,64.88,0,1.7
2021-06-16 02:00,23.24,31.23,73.27,0,2.76
2021-06-16 03:00,0,31.95,80.18,0,2.03
2021-06-16 04:00,0,29.41,64.11,0,2.57
2021-06-16 05:00,8.27,29.37,95,0,1.04
2021-06-16 06:00,110.33,33.54,68.85,0,3.65
2021-06-16 07:00,310.41,32.11,81.97,0,3.95
2021-06-16 08:00,495.97,31.61,60.98,0,4.28
2021-06-16 09:00,584.31,34.7,60.64,0,3.55
2021-06-16 10:00,716.28,36.49,63.05,0,3.71
2021-06-16 11:00,854.06,35.4,59.28,0,2.45
2021-06-16 12:00,641.98,38.74,54.73,0,3.85
2021-06-16 13:00,657.78,38.01,49.99,0,4.2
2021-06-16 14:00,634.07,36.06,61.01,0,4.61
2021-06-16 15:00,594.06,35.83,58.67,0,3.84
2021-06-16 16:00,595.08,37.38,53.34,0,3.08
2021-06-16 17:00,345.43,33.87,61.06,0,2.61
2021-06-16 18:00,201.03,33.26,61.93,0,1.86
2021-06-16 19:00,15.34,32.34,74.24,0,1.86
2021-06-16 20:00,30.17,30.43,76.23,0,1.17
2021-06-16 21:00,20.46,30.91,85.0,0,2.53
2021-06-16 22:00,0,30.79,82.33,0,1.85
2021-06-16 23:00,6.59,31.91,84.03,0,2.65
2021-06-17 00:00,0,28.35,77.45,0,2.93
2021-06-17 01:00,10.1,27.75,69.23,0,2.98
2021-06-17 02:00,0,31.32,79.55,0,4.27
2021-06-17 03:00,6.24,29.77,79.39,0,2.13
2021-06-17 04:00,16.7,30.41,61.47,0,1.76
2021-06-17 05:00,17.66,29.93,86.92,0,1.09
2021-06-17 06:00,118.5,29.02,68.46,0,2.0
2021-06-17 07:00,288.76,33.68,59.07,0,2.5
2021-06-17 08:00,396.58,34.54,63.58,0,2.61
2021-06-17 09:00,595.14,33.94,58.01,0,3.92
2021-06-17 10:00,710.84,35.42,51.12,0,3.75
2021-06-17 11:00,819.29,33.23,55.43,0,3.67
2021-06-17 12:00,705.74,34.92,44.71,0,4.79
2021-06-17 13:00,651.44,37.63,52.73,0,5.05
2021-06-17 14:00,556.99,36.16,62.61,0,3.53
2021-06-17 15:00,675.25,35.04,52.7,0,3.97
2021-06-17 16:00,436.66,35.76,64.06,0,4.8
2021-06-17 17:00,331.52,32.23,59.78,0,2.41
2021-06-17 18:00,253.04,35.38,66.9,0,2.76
2021-06-17 19:00,39.25,32.43,69.23,0,3.11
2021-06-17 20:00,5.8,29.26,86.93,0,2.73
2021-06-17 21:00,0,28.5,74.99,0,2.07
2021-06-17 22:00,12.12,27.95,67.2,0,2.38
2021-06-17 23:00,0,29.04,76.96,0,3.24
2021-06-18 00:00,0,30.96,87.4,0,2.06
2021-06-18 01:00,0,30.39,70.5,0,3.72
2021-06-18 02:00,4.07,30.73,77.29,0,3.0
2021-06-18 03:00,1.14,32.04,81.76,0,3.69
2021-06-18 04:00,0,28.64,83.05,0,1.85
2021-06-18 05:00,0,29.86,91.78,0,3.35
2021-06-18 06:00,108.01,31.24,71.85,0,1.6
2021-06-18 07:00,218.54,32.83,67.64,0,4.34
2021-06-18 08:00,448.92,34.07,67.25,0,2.05
2021-06-18 09:00,377.85,34.51,56.08,0,2.78
2021-06-18 10:00,458.31,34.44,48.61,0,4.1
2021-06-18 11:00,519.03,38.42,38.02,0,3.74
2021-06-18 12:00,879.92,37.2,50.67,0,4.66
2021-06-18 13:00,865.83,34.78,40.45,0,4.39
2021-06-18 14:00,686.26,38.61,52.32,0,2.92
2021-06-18 15:00,485.02,34.53,47.98,0,3.52
2021-06-18 16:00,384.72,37.37,59.62,0,2.92
2021-06-18 17:00,220.14,34.8,59.24,0,1.81
2021-06-18 18:00,186.5,33.99,72.05,0,2.93
2021-06-18 19:00,38.96,30.91,71.78,0,2.69
2021-06-18 20:00,12.93,31.07,77.74,0,1.65
2021-06-18 21:00,0,27.56,78.16,0,1.89
2021-06-18 22:00,15.71,30.19,78.29,0,2.59
2021-06-18 23:00,0,31.06,67.15,0,1.64
2021-06-19 00:00,12.44,31.0,79.09,0,3.19
2021-06-19 01:00,0,30.07,90.21,0,2.92
2021-06-19 02:00,0,33.37,80.83,0,1.5
2021-06-19 03:00,0,28.7,76.6,0,1.51
2021-06-19 04:00,4.98,30.17,89.36,0,1.06
2021-06-19 05:00,0,32.19,89.43,0,3.81
2021-06-19 06:00,64.74,30.49,74.49,0,1.14
2021-06-19 07:00,196.23,34.16,74.38,0,2.51
2021-06-19 08:00,386.33,32.61,81.45,0,2.36
2021-06-19 09:00,534.33,33.92,54.15,0,2.35
2021-06-19 10:00,505.25,36.24,44.97,0,3.84
2021-06-19 11:00,650.95,34.27,51.03,0,3.02
2021-06-19 12:00,715.57,36.32,55.39,0,3.65
2021-06-19 13:00,660.52,38.51,44.5,0,3.44
2021-06-19 14:00,570.76,38.52,56.38,0,3.29
2021-06-19 15:00,502.89,37.77,66.01,0,4.2
2021-06-19 16:00,266.12,34.71,57.47,0,2.93
2021-06-19 17:00,327.61,36.16,70.14,0,3.23
2021-06-19 18:00,251.17,34.31,72.23,0,2.64
2021-06-19 19:00,21.44,31.45,80.4,0,2.66
2021-06-19 20:00,0,28.03,70.57,0,1.9
2021-06-19 21:00,14.26,27.28,81.2,0,2.14
2021-06-19 22:00,39.43,30.4,82.96,0,4.0
2021-06-19 23:00,0,32.23,70.15,0,2.25
2021-06-20 00:00,17.46,30.61,72.52,0,2.88
2021-06-20 01:00,0,28.97,74.85,0,1.4
2021-06-20 02:00,0,29.58,71.77,0,1.92
2021-06-20 03:00,13.47,27.57,72.06,0,2.64
